net,length_um
_05236_,12.23µm
_01929_,12.205µm
_02447_,12.205µm
_04414_,12.205µm
acc0\[12\],12.205µm
_05555_,12.18µm
_01422_,12.15µm
comm_mem_u0.o_img_row08\[29\],12.145µm
_01419_,12.14µm
_01510_,12.14µm
_02036_,12.14µm
_02477_,12.14µm
_04524_,12.13µm
_04576_,12.13µm
_05083_,12.13µm
_05475_,12.13µm
_02229_,12.12µm
_05290_,12.12µm
_01388_,12.09µm
_06097_,12.09µm
_03778_,12.08µm
_05134_,12.08µm
comm_mem_u0.reg_img_u8.Register_Imag_DataInBUS\[1\],12.065µm
_00525_,12.06µm
_01259_,12.06µm
_04208_,12.035µm
_02371_,12.03µm
_05459_,12.025µm
_05365_,12.02µm
_02117_,12.01µm
_03625_,12.01µm
_04186_,12.01µm
_04463_,12.01µm
_01693_,12µm
_02916_,12µm
_03417_,12µm
_04162_,12µm
_04959_,12µm
_05140_,12µm
_05234_,12µm
_05652_,12µm
_03176_,11.975µm
_00658_,11.95µm
_00716_,11.95µm
_00991_,11.95µm
_01595_,11.95µm
_03467_,11.95µm
_05034_,11.95µm
_05641_,11.95µm
_05917_,11.95µm
_01237_,11.94µm
_01391_,11.94µm
_01522_,11.94µm
_01642_,11.94µm
_01744_,11.94µm
_02573_,11.94µm
_04300_,11.94µm
_04868_,11.94µm
_05660_,11.94µm
_05952_,11.94µm
_05957_,11.94µm
_02422_,11.935µm
_05577_,11.92µm
_02904_,11.91µm
comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[2\],11.9µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[27\],11.9µm
comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[28\],11.9µm
_01613_,11.89µm
_03875_,11.89µm
_04993_,11.89µm
_06433_,11.89µm
comm_mem_u0.reg_img_u9.Register_Imag_DataInBUS\[17\],11.89µm
_03101_,11.885µm
_01318_,11.88µm
_01324_,11.88µm
_01533_,11.88µm
_02731_,11.88µm
_02843_,11.88µm
_03478_,11.88µm
_04395_,11.88µm
_05058_,11.88µm
_05352_,11.88µm
_06462_,11.88µm
CNNver2_Reset_InHigh,11.865µm
_02140_,11.845µm
_02397_,11.845µm
_03384_,11.84µm
_03391_,11.84µm
comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[9\],11.84µm
comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[1\],11.84µm
_01155_,11.83µm
_01393_,11.83µm
_02858_,11.83µm
_03444_,11.83µm
comm_mem_u0.reg_img_u6.Register_Imag_DataInBUS\[10\],11.825µm
_04517_,11.82µm
_03435_,11.815µm
_02612_,11.8µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[24\],11.79µm
_00182_,11.78µm
_03465_,11.78µm
_04019_,11.78µm
_01471_,11.77µm
_01489_,11.77µm
_01502_,11.77µm
_02742_,11.77µm
_02901_,11.77µm
_05760_,11.77µm
_06583_,11.77µm
_04076_,11.76µm
_04147_,11.76µm
_04372_,11.76µm
_04500_,11.76µm
_04611_,11.76µm
_02136_,11.725µm
_04563_,11.72µm
_05553_,11.72µm
_05643_,11.72µm
_02572_,11.71µm
comm_mem_u0.o_img_row01\[24\],11.695µm
_01884_,11.67µm
_01963_,11.67µm
_04211_,11.67µm
_01475_,11.665µm
_00926_,11.65µm
_04161_,11.65µm
_04562_,11.65µm
_04693_,11.65µm
_06143_,11.64µm
_03769_,11.62µm
_00397_,11.59µm
_01171_,11.59µm
_06636_,11.59µm
_03849_,11.585µm
_03780_,11.58µm
_05618_,11.58µm
_05847_,11.58µm
_04949_,11.55µm
_05226_,11.55µm
_00518_,11.53µm
_02343_,11.53µm
_03037_,11.53µm
_04034_,11.53µm
comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[15\],11.53µm
_01734_,11.52µm
_01795_,11.52µm
_02500_,11.52µm
_03279_,11.52µm
_04134_,11.52µm
net1830,11.52µm
comm_mem_u0.reg_img_u3.Register_Imag_DataInBUS\[4\],11.515µm
_02092_,11.505µm
_02255_,11.505µm
_04898_,11.495µm
_01564_,11.475µm
_00009_,11.47µm
_01565_,11.47µm
_03096_,11.47µm
_03346_,11.47µm
_03587_,11.47µm
acc1\[11\],11.47µm
comm_mem_u0.mr1_out\[15\],11.47µm
proc_u0.cnn_ctrl_u0.state\[11\],11.47µm
_00072_,11.46µm
_03106_,11.46µm
_03840_,11.46µm
_05935_,11.455µm
_05278_,11.445µm
_02012_,11.43µm
_02833_,11.425µm
_01867_,11.42µm
comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[18\],11.42µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[15\],11.42µm
acc1\[9\],11.41µm
comm_mem_u0.o_wgt_row04\[6\],11.41µm
_00064_,11.4µm
_02872_,11.4µm
_04639_,11.4µm
_05973_,11.4µm
_06429_,11.4µm
_06486_,11.4µm
_06593_,11.4µm
_04588_,11.395µm
_06050_,11.395µm
_05081_,11.38µm
_05247_,11.38µm
_06123_,11.38µm
_03294_,11.36µm
_05080_,11.36µm
_05206_,11.36µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[19\],11.36µm
_01432_,11.35µm
_01485_,11.35µm
_04692_,11.35µm
_02577_,11.33µm
_02964_,11.325µm
_05103_,11.325µm
_00025_,11.31µm
_05451_,11.31µm
_05531_,11.3µm
_01172_,11.29µm
_02499_,11.29µm
_02546_,11.29µm
_04121_,11.29µm
_04152_,11.29µm
_05172_,11.29µm
_05349_,11.29µm
_05360_,11.29µm
_05480_,11.29µm
_06127_,11.29µm
_06508_,11.29µm
net1385,11.29µm
net1647,11.29µm
net1800,11.29µm
net1809,11.29µm
_01144_,11.28µm
_04030_,11.28µm
_04593_,11.28µm
_05266_,11.28µm
net1188,11.28µm
_02300_,11.275µm
_04586_,11.275µm
_05320_,11.275µm
_03406_,11.27µm
_05915_,11.25µm
comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[15\],11.25µm
_05602_,11.245µm
_04957_,11.23µm
_05227_,11.23µm
_06060_,11.22µm
_02205_,11.195µm
_05664_,11.195µm
_01532_,11.19µm
_04288_,11.19µm
_05707_,11.175µm
_04010_,11.17µm
_04101_,11.17µm
_04136_,11.17µm
_05486_,11.17µm
_05676_,11.17µm
_02267_,11.165µm
_05254_,11.16µm
_05873_,11.16µm
_01608_,11.145µm
_05466_,11.13µm
_00673_,11.11µm
_04883_,11.1µm
comm_mem_u0.mr1_out\[0\],11.1µm
_02286_,11.075µm
_00533_,11.07µm
_02898_,11.065µm
_03704_,11.06µm
_05395_,11.06µm
_04150_,11.05µm
_05317_,11.05µm
_05467_,11.05µm
_05568_,11.05µm
_01899_,11.04µm
_02260_,11.04µm
_02927_,11.04µm
_04036_,11.04µm
_06631_,11.04µm
_00698_,10.99µm
_00719_,10.99µm
_01027_,10.99µm
_03189_,10.99µm
_03910_,10.99µm
_04140_,10.99µm
_04631_,10.99µm
_05836_,10.99µm
_01601_,10.98µm
_02730_,10.98µm
_03655_,10.98µm
_04158_,10.98µm
_05954_,10.98µm
_06029_,10.98µm
_06722_,10.98µm
_03370_,10.975µm
_04940_,10.975µm
_02416_,10.955µm
_05932_,10.94µm
_01236_,10.93µm
_01344_,10.93µm
_01396_,10.93µm
_01535_,10.93µm
_01897_,10.93µm
_02191_,10.93µm
_03674_,10.93µm
_04196_,10.93µm
_04213_,10.93µm
_04465_,10.93µm
_05233_,10.93µm
_05381_,10.93µm
_02985_,10.92µm
_03495_,10.92µm
_06200_,10.92µm
net1169,10.92µm
_02234_,10.905µm
comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[29\],10.905µm
_03114_,10.88µm
comm_mem_u0.o_img_row09\[5\],10.88µm
comm_mem_u0.reg_img_u1.Register_Imag_DataInBUS\[9\],10.88µm
comm_mem_u0.reg_img_u2.Register_Imag_DataInBUS\[14\],10.88µm
_03047_,10.87µm
_05939_,10.865µm
_00023_,10.86µm
_02390_,10.86µm
_03107_,10.86µm
_05699_,10.86µm
_05709_,10.86µm
_04232_,10.835µm
_03085_,10.825µm
_03202_,10.82µm
_04577_,10.82µm
_04862_,10.82µm
_03352_,10.81µm
_03788_,10.81µm
_05745_,10.81µm
_06130_,10.81µm
_06322_,10.81µm
_06588_,10.81µm
_03519_,10.805µm
_00811_,10.8µm
_04258_,10.8µm
_04613_,10.8µm
_05698_,10.8µm
_06329_,10.8µm
net1533,10.8µm
_05719_,10.76µm
_04052_,10.75µm
_05981_,10.75µm
_04691_,10.74µm
_04713_,10.735µm
_03770_,10.72µm
_02951_,10.715µm
_01421_,10.7µm
_01523_,10.7µm
_04011_,10.7µm
_04127_,10.7µm
_05201_,10.695µm
_01782_,10.69µm
_02250_,10.69µm
_02944_,10.69µm
_03141_,10.69µm
_03816_,10.69µm
_05849_,10.69µm
net1143,10.69µm
net1291,10.69µm
comm_mem_u0.reg_wgt_u4.Register_Weight_DataInBUS\[11\],10.69µm
_01945_,10.68µm
_02945_,10.68µm
_03360_,10.68µm
_05120_,10.665µm
_02446_,10.655µm
_03440_,10.65µm
_04005_,10.64µm
_00651_,10.63µm
_04033_,10.62µm
_05484_,10.59µm
net2,10.57µm
_01407_,10.57µm
_01500_,10.57µm
_02185_,10.57µm
_03958_,10.57µm
_05628_,10.57µm
_01537_,10.56µm
_01552_,10.56µm
_01555_,10.56µm
_01691_,10.56µm
_02856_,10.56µm
_03349_,10.56µm
_03404_,10.56µm
_03466_,10.56µm
_04312_,10.56µm
_04592_,10.56µm
_05229_,10.56µm
_05678_,10.56µm
_05895_,10.56µm
_06248_,10.56µm
_06768_,10.56µm
net1333,10.56µm
_02458_,10.52µm
_06638_,10.515µm
_00732_,10.51µm
_00790_,10.51µm
_00813_,10.51µm
_00833_,10.51µm
_01247_,10.51µm
_04965_,10.51µm
_05450_,10.51µm
_05580_,10.51µm
_05596_,10.51µm
_06105_,10.51µm
_01646_,10.5µm
_02651_,10.5µm
_02399_,10.495µm
_01792_,10.485µm
_01948_,10.46µm
_05078_,10.46µm
_05170_,10.46µm
comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[28\],10.46µm
comm_mem_u0.reg_img_u5.Register_Imag_DataInBUS\[29\],10.46µm
comm_mem_u0.reg_img_u6.Register_Imag_DataInBUS\[5\],10.46µm
comm_mem_u0.reg_img_u7.Register_Imag_DataInBUS\[21\],10.46µm
comm_mem_u0.reg_img_u7.Register_Imag_DataInBUS\[7\],10.46µm
_01934_,10.455µm
_01252_,10.45µm
_01672_,10.45µm
_02534_,10.45µm
_02583_,10.45µm
_03422_,10.45µm
_04473_,10.45µm
_05346_,10.45µm
_06376_,10.45µm
net1313,10.45µm
net1511,10.45µm
net1793,10.45µm
net1795,10.45µm
net1814,10.45µm
net1815,10.45µm
net1820,10.45µm
net1846,10.45µm
net1858,10.45µm
comm_mem_u0.o_img_row01\[25\],10.45µm
_03405_,10.445µm
_00591_,10.44µm
_01226_,10.44µm
_05728_,10.44µm
_02434_,10.435µm
_02896_,10.435µm
_04892_,10.435µm
_05210_,10.435µm
_02232_,10.425µm
_04028_,10.42µm
_04079_,10.42µm
_04618_,10.42µm
_05814_,10.405µm
_02634_,10.4µm
_03426_,10.4µm
_04525_,10.4µm
_05732_,10.4µm
_06637_,10.4µm
comm_mem_u0.o_wgt_row02\[2\],10.4µm
_02239_,10.395µm
net1828,10.395µm
_00862_,10.39µm
_00935_,10.39µm
_01240_,10.39µm
_01399_,10.39µm
_01955_,10.39µm
_04185_,10.39µm
_04784_,10.39µm
_06087_,10.39µm
_01294_,10.38µm
_02931_,10.37µm
comm_mem_u0.reg_wgt_u4.Register_Weight_DataInBUS\[9\],10.35µm
_05809_,10.34µm
_06749_,10.335µm
_01036_,10.33µm
_01067_,10.33µm
_01928_,10.33µm
_01997_,10.33µm
_03335_,10.33µm
_03361_,10.33µm
_04452_,10.33µm
_04558_,10.33µm
_05125_,10.33µm
_05869_,10.33µm
_06195_,10.33µm
_06234_,10.33µm
_06295_,10.33µm
_06310_,10.33µm
_06384_,10.33µm
_06482_,10.33µm
_06483_,10.33µm
net1669,10.33µm
comm_mem_u0.o_img_row04\[9\],10.33µm
_00012_,10.32µm
_00760_,10.32µm
_01257_,10.32µm
_01745_,10.32µm
_03824_,10.32µm
_06657_,10.32µm
net1139,10.32µm
_03686_,10.315µm
_04003_,10.315µm
_05595_,10.315µm
_01942_,10.305µm
comm_mem_u0.reg_img_u6.Register_Imag_DataInBUS\[12\],10.305µm
_05828_,10.295µm
comm_mem_u0.reg_img_u0.Register_Imag_DataInBUS\[10\],10.29µm
_00338_,10.27µm
_00545_,10.27µm
_03418_,10.27µm
_03578_,10.27µm
_04050_,10.27µm
_05343_,10.27µm
_04599_,10.26µm
_04647_,10.26µm
_06748_,10.26µm
_01974_,10.255µm
_05156_,10.255µm
_02890_,10.235µm
_04596_,10.235µm
_01465_,10.23µm
_04643_,10.23µm
_05366_,10.23µm
_03415_,10.225µm
_05925_,10.22µm
_02491_,10.21µm
_02665_,10.21µm
_03018_,10.21µm
_03871_,10.21µm
_04931_,10.21µm
_05924_,10.21µm
_06170_,10.21µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[66\],10.185µm
_03084_,10.17µm
_05405_,10.16µm
_00723_,10.15µm
_04059_,10.145µm
_03645_,10.14µm
_04102_,10.14µm
_04261_,10.14µm
_05329_,10.14µm
_00308_,10.125µm
net1860,10.125µm
_02439_,10.1µm
_03022_,10.1µm
_03708_,10.09µm
_04752_,10.09µm
comm_mem_u0.reg_wgt_u2.Register_Weight_DataInBUS\[9\],10.09µm
_01604_,10.08µm
_01678_,10.08µm
_01767_,10.08µm
_01985_,10.08µm
_02559_,10.08µm
_03936_,10.08µm
_04664_,10.08µm
_04697_,10.08µm
_05522_,10.08µm
_05578_,10.08µm
comm_mem_u0.reg_img_u8.Register_Imag_DataInBUS\[18\],10.08µm
_02737_,10.075µm
_03684_,10.07µm
_03081_,10.065µm
_00007_,10.03µm
_00721_,10.03µm
_01707_,10.03µm
_01788_,10.03µm
_04151_,10.03µm
_05503_,10.03µm
_02139_,10.02µm
_04857_,10.02µm
_05382_,10.02µm
_03075_,10.015µm
_04022_,10.01µm
net1587,9.99µm
_01348_,9.98µm
_02121_,9.98µm
_04595_,9.98µm
_01132_,9.97µm
_01541_,9.97µm
_02435_,9.97µm
_03588_,9.97µm
_04064_,9.97µm
_04985_,9.97µm
_05799_,9.97µm
_05971_,9.97µm
_06220_,9.97µm
comm_mem_u0.spi_u0.data_count\[3\],9.97µm
_05593_,9.965µm
_05934_,9.965µm
_00707_,9.96µm
_02146_,9.96µm
_02395_,9.96µm
_02841_,9.96µm
_04536_,9.96µm
_05852_,9.96µm
_06440_,9.96µm
acc1\[15\],9.96µm
comm_mem_u0.o_wgt_row04\[12\],9.96µm
_03260_,9.955µm
_04456_,9.955µm
_05116_,9.955µm
_02336_,9.92µm
_03403_,9.92µm
comm_mem_u0.o_wgt_row02\[7\],9.92µm
_00337_,9.91µm
_00915_,9.91µm
_00920_,9.91µm
_01669_,9.91µm
_02359_,9.91µm
_02504_,9.91µm
_05421_,9.91µm
_06524_,9.91µm
_00390_,9.9µm
_02001_,9.9µm
_05085_,9.9µm
_02046_,9.895µm
_03575_,9.885µm
_02558_,9.88µm
_01521_,9.87µm
_03599_,9.87µm
comm_mem_u0.spi_u0.bit_count\[8\],9.87µm
_01347_,9.86µm
_03393_,9.86µm
_04352_,9.86µm
_02085_,9.85µm
_02702_,9.85µm
_02792_,9.85µm
_03654_,9.85µm
_04143_,9.85µm
_04836_,9.85µm
_05786_,9.85µm
_05946_,9.85µm
_06098_,9.85µm
_06537_,9.85µm
net1485,9.85µm
net1503,9.85µm
net1822,9.85µm
_05929_,9.845µm
_00301_,9.84µm
_00881_,9.84µm
_02481_,9.84µm
_03423_,9.84µm
_04219_,9.84µm
_05512_,9.84µm
_06089_,9.84µm
net1199,9.84µm
net1347,9.84µm
net1639,9.84µm
net1771,9.84µm
net1892,9.84µm
_05271_,9.835µm
_01469_,9.81µm
_04071_,9.81µm
_04998_,9.79µm
_03427_,9.78µm
_03844_,9.78µm
_05197_,9.78µm
_02987_,9.775µm
_03574_,9.775µm
_04141_,9.775µm
_04923_,9.775µm
_05673_,9.775µm
_04561_,9.77µm
_00087_,9.76µm
_03245_,9.745µm
_01430_,9.74µm
_02982_,9.74µm
_02143_,9.73µm
_02312_,9.73µm
_05642_,9.73µm
_05907_,9.73µm
_05942_,9.73µm
_06539_,9.72µm
_05504_,9.7µm
_03387_,9.69µm
_02087_,9.68µm
_05202_,9.68µm
_00713_,9.67µm
_01890_,9.66µm
_03782_,9.66µm
_04164_,9.66µm
_05692_,9.66µm
_01965_,9.655µm
_02683_,9.635µm
_01253_,9.61µm
_03776_,9.61µm
_05530_,9.61µm
_06184_,9.61µm
_06304_,9.61µm
_01673_,9.6µm
_01739_,9.6µm
_01781_,9.6µm
_02424_,9.6µm
_02767_,9.6µm
_03031_,9.6µm
_04017_,9.6µm
_05128_,9.6µm
_05840_,9.6µm
_06600_,9.6µm
proc_u0.cnn_ctrl_u0.state\[7\],9.6µm
_04037_,9.585µm
_05196_,9.57µm
_00724_,9.55µm
_02414_,9.55µm
_02487_,9.55µm
_03044_,9.55µm
_03316_,9.55µm
_03546_,9.55µm
_03758_,9.55µm
_05000_,9.55µm
_05012_,9.55µm
_05791_,9.55µm
_05968_,9.55µm
_06073_,9.55µm
_03837_,9.54µm
_04565_,9.54µm
_04658_,9.54µm
_05704_,9.54µm
_05784_,9.54µm
_05950_,9.54µm
_06027_,9.54µm
_02035_,9.535µm
_05763_,9.535µm
_05604_,9.525µm
acc0\[15\],9.5µm
_03287_,9.495µm
_00589_,9.49µm
_04098_,9.49µm
_05586_,9.49µm
_05608_,9.49µm
net1376,9.49µm
comm_mem_u0.mr1_out\[5\],9.485µm
_02408_,9.48µm
_02540_,9.48µm
_03010_,9.48µm
_04919_,9.48µm
_04954_,9.48µm
_06210_,9.48µm
_06281_,9.48µm
_06536_,9.48µm
comm_mem_u0.o_img_row04\[6\],9.48µm
comm_mem_u0.o_start_cnn,9.48µm
_04081_,9.475µm
_04805_,9.475µm
_04981_,9.475µm
_02037_,9.47µm
_05218_,9.47µm
_05514_,9.46µm
_04058_,9.44µm
_05307_,9.44µm
comm_mem_u0.o_wgt_row02\[8\],9.44µm
_00976_,9.43µm
_04621_,9.43µm
_04677_,9.43µm
_04770_,9.43µm
_05908_,9.43µm
_06037_,9.43µm
_06666_,9.43µm
_05606_,9.425µm
_04422_,9.42µm
_04800_,9.42µm
_05864_,9.42µm
_02988_,9.385µm
_01445_,9.38µm
_03351_,9.38µm
_01188_,9.37µm
_02214_,9.37µm
_03603_,9.37µm
_03876_,9.37µm
_04094_,9.37µm
_04754_,9.37µm
_05654_,9.37µm
_06425_,9.37µm
_06442_,9.37µm
_06445_,9.37µm
_06452_,9.37µm
_06562_,9.37µm
net1402,9.37µm
net1433,9.37µm
_00943_,9.36µm
_02242_,9.36µm
_02878_,9.36µm
_03102_,9.36µm
_03472_,9.36µm
_04241_,9.36µm
_05287_,9.36µm
_05914_,9.36µm
net1294,9.36µm
net1310,9.36µm
net1344,9.36µm
net1649,9.36µm
net1890,9.36µm
_03304_,9.355µm
_05680_,9.355µm
_02869_,9.33µm
_05768_,9.33µm
comm_mem_u0.reg_img_u4.Register_Imag_DataInBUS\[26\],9.33µm
_00656_,9.31µm
_03428_,9.31µm
_04953_,9.3µm
_01444_,9.275µm
_03577_,9.275µm
_04146_,9.275µm
_02884_,9.265µm
_02788_,9.26µm
_04612_,9.26µm
_02539_,9.25µm
_03468_,9.25µm
_05697_,9.25µm
_05789_,9.25µm
_02430_,9.24µm
_04855_,9.24µm
_04589_,9.225µm
_05334_,9.21µm
_06063_,9.21µm
_01923_,9.205µm
_00032_,9.19µm
_00650_,9.19µm
_01031_,9.19µm
_04743_,9.19µm
_02264_,9.18µm
_02607_,9.18µm
_04903_,9.18µm
_05974_,9.18µm
_06118_,9.18µm
acc1\[7\],9.18µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.state\[4\],9.16µm
_01964_,9.14µm
_01697_,9.13µm
_02078_,9.13µm
_03054_,9.13µm
_04567_,9.13µm
_05127_,9.13µm
_05428_,9.13µm
_05977_,9.13µm
_06369_,9.13µm
_06458_,9.13µm
_06505_,9.13µm
comm_mem_u0.reg_img_u9.Register_Imag_DataInBUS\[24\],9.13µm
_00020_,9.12µm
_00246_,9.12µm
_00386_,9.12µm
_00537_,9.12µm
_01738_,9.12µm
_02569_,9.12µm
_02827_,9.12µm
_03665_,9.12µm
_03878_,9.12µm
_04187_,9.12µm
_04209_,9.12µm
_04758_,9.12µm
_05832_,9.12µm
_05978_,9.12µm
net1120,9.12µm
comm_mem_u0.reg_img_u8.Register_Imag_DataInBUS\[4\],9.12µm
comm_mem_u0.reg_img_u8.Register_Imag_DataInBUS\[8\],9.12µm
comm_mem_u0.reg_img_u9.Register_Imag_DataInBUS\[23\],9.12µm
_03752_,9.11µm
_02040_,9.085µm
_00460_,9.07µm
_00679_,9.07µm
_00907_,9.07µm
_00916_,9.07µm
_01694_,9.07µm
_03165_,9.07µm
_03447_,9.07µm
_03725_,9.07µm
_03956_,9.07µm
_03970_,9.07µm
_04178_,9.07µm
_04314_,9.07µm
_05010_,9.07µm
_05309_,9.07µm
_05324_,9.07µm
_05603_,9.07µm
_06012_,9.07µm
_06018_,9.07µm
_06042_,9.07µm
_06086_,9.07µm
comm_mem_u0.reg_img_u9.Register_Imag_DataInBUS\[12\],9.07µm
_01331_,9.06µm
_02000_,9.06µm
_03242_,9.06µm
_03563_,9.06µm
_04008_,9.06µm
_05627_,9.06µm
_06043_,9.06µm
_06046_,9.06µm
_06747_,9.06µm
_04712_,9.055µm
_04114_,9.045µm
_03000_,9.04µm
_05384_,9.02µm
_05922_,9.02µm
comm_mem_u0.mr1_out\[13\],9.02µm
_01528_,9.015µm
_00333_,9.01µm
_01310_,9.01µm
_01426_,9.01µm
_01553_,9.01µm
_04054_,9.01µm
_05072_,9.01µm
_05107_,9.01µm
_05545_,9.01µm
_06132_,9.01µm
_06500_,9.01µm
net1507,9.01µm
_02773_,9µm
_03358_,9µm
_03420_,9µm
_04013_,9µm
_04269_,9µm
_04874_,9µm
_05350_,9µm
_06196_,9µm
_02095_,8.995µm
_03359_,8.995µm
_05123_,8.99µm
_02123_,8.98µm
_05589_,8.965µm
_02579_,8.96µm
_05294_,8.96µm
_05730_,8.96µm
comm_mem_u0.reg_img_u9.Register_Imag_DataInBUS\[6\],8.96µm
_00558_,8.95µm
_00694_,8.95µm
comm_mem_u0.reg_wgt_u2.Register_Weight_DataInBUS\[10\],8.95µm
comm_mem_u0.reg_wgt_u2.Register_Weight_DataInBUS\[2\],8.95µm
_00330_,8.94µm
_02216_,8.94µm
_03315_,8.94µm
_03518_,8.94µm
_03988_,8.94µm
comm_mem_u0.reg_img_u6.Register_Imag_DataInBUS\[27\],8.94µm
_01423_,8.935µm
_04715_,8.935µm
_02010_,8.915µm
_02050_,8.91µm
_04117_,8.905µm
_00447_,8.9µm
_04930_,8.9µm
_05335_,8.9µm
_00089_,8.89µm
_01057_,8.89µm
_01062_,8.89µm
_01900_,8.89µm
_02838_,8.89µm
_03079_,8.89µm
_03616_,8.89µm
_03773_,8.89µm
_04105_,8.89µm
_04214_,8.89µm
_05133_,8.89µm
_05213_,8.89µm
_05237_,8.89µm
_05821_,8.89µm
_06243_,8.89µm
_06264_,8.89µm
_06426_,8.89µm
_06492_,8.89µm
_06503_,8.89µm
_06518_,8.89µm
_06581_,8.89µm
_06621_,8.89µm
net1269,8.89µm
net1840,8.89µm
_00331_,8.88µm
_00954_,8.88µm
_01233_,8.88µm
_02057_,8.88µm
_02288_,8.88µm
_03300_,8.88µm
_03726_,8.88µm
_03992_,8.88µm
_04383_,8.88µm
_04966_,8.88µm
_06173_,8.88µm
_06595_,8.88µm
net1153,8.88µm
net1162,8.88µm
net1214,8.88µm
net1261,8.88µm
net1286,8.88µm
net1370,8.88µm
net1438,8.88µm
net1478,8.88µm
net1489,8.88µm
net1498,8.88µm
net1586,8.88µm
net1691,8.88µm
net1727,8.88µm
net1730,8.88µm
net1761,8.88µm
_05161_,8.865µm
_00485_,8.86µm
_03722_,8.86µm
_01958_,8.855µm
_01852_,8.85µm
_03254_,8.85µm
_05649_,8.84µm
_01139_,8.83µm
_03306_,8.83µm
proc_u0.cnn_ctrl_u0.state\[4\],8.83µm
_04426_,8.82µm
_04660_,8.82µm
_04338_,8.805µm
_03416_,8.78µm
_03464_,8.77µm
_03963_,8.77µm
_05024_,8.77µm
_05074_,8.77µm
_05430_,8.77µm
_05436_,8.77µm
_02828_,8.765µm
_00327_,8.76µm
_00825_,8.76µm
_01275_,8.76µm
_03339_,8.76µm
_04099_,8.76µm
_05132_,8.745µm
_04735_,8.72µm
_05455_,8.72µm
_05587_,8.72µm
_05635_,8.72µm
_00336_,8.71µm
_00341_,8.71µm
_01238_,8.71µm
_04920_,8.71µm
_01551_,8.7µm
_01651_,8.7µm
_01708_,8.7µm
_02009_,8.7µm
_02454_,8.7µm
_05984_,8.7µm
_06108_,8.7µm
_06700_,8.7µm
net1834,8.7µm
acc1\[14\],8.7µm
CNNver2_CMD_Reset,8.7µm
_02131_,8.695µm
_04153_,8.685µm
_05282_,8.67µm
comm_mem_u0.reg_img_u2.Register_Imag_DataInBUS\[18\],8.67µm
acc0\[14\],8.665µm
_03461_,8.66µm
_00234_,8.65µm
_00277_,8.65µm
_00683_,8.65µm
_01273_,8.65µm
_03200_,8.65µm
_03806_,8.65µm
_04048_,8.65µm
_04277_,8.65µm
_04531_,8.65µm
_04683_,8.65µm
_04763_,8.65µm
_05158_,8.65µm
_05725_,8.65µm
_05813_,8.65µm
_05959_,8.65µm
_06499_,8.65µm
comm_mem_u0.reg_wgt_u0.Register_Weight_DataInBUS\[11\],8.65µm
comm_mem_u0.reg_wgt_u1.Register_Weight_DataInBUS\[1\],8.65µm
comm_mem_u0.reg_wgt_u2.Register_Weight_DataInBUS\[12\],8.65µm
_01721_,8.64µm
_01796_,8.64µm
_02268_,8.64µm
_02313_,8.64µm
_02711_,8.64µm
_04275_,8.64µm
_04413_,8.64µm
_05219_,8.64µm
_05623_,8.64µm
_05855_,8.64µm
_06149_,8.64µm
_06379_,8.64µm
net1322,8.64µm
net1375,8.64µm
net1787,8.64µm
_06665_,8.625µm
_00729_,8.59µm
_00789_,8.59µm
_00809_,8.59µm
_02279_,8.59µm
_02614_,8.59µm
_02977_,8.59µm
_03303_,8.59µm
_03589_,8.59µm
_03666_,8.59µm
_04086_,8.59µm
_04159_,8.59µm
_04856_,8.59µm
_05846_,8.59µm
comm_mem_u0.reg_wgt_u1.Register_Weight_DataInBUS\[10\],8.59µm
comm_mem_u0.reg_wgt_u2.Register_Weight_DataInBUS\[14\],8.59µm
_02510_,8.58µm
_03288_,8.58µm
_03345_,8.58µm
_03480_,8.58µm
_03848_,8.58µm
_04781_,8.58µm
_05284_,8.58µm
_05858_,8.58µm
acc0\[8\],8.58µm
_04598_,8.565µm
_02511_,8.555µm
_02483_,8.545µm
_04002_,8.54µm
comm_mem_u0.mr2_out\[11\],8.54µm
comm_mem_u0.o_img_row01\[0\],8.54µm
comm_mem_u0.o_wgt_row01\[14\],8.54µm
_03017_,8.53µm
_03121_,8.53µm
_03648_,8.53µm
_05042_,8.53µm
_06337_,8.53µm
_06477_,8.53µm
net1171,8.53µm
net1452,8.53µm
net1564,8.53µm
net1853,8.53µm
comm_mem_u0.reg_wgt_u3.Register_Weight_DataInBUS\[3\],8.53µm
_01178_,8.52µm
_02415_,8.52µm
