net,length_um
comm_mem_u0.o_img_row05\[12\],172.78µm
net23,172.78µm
net885,172.76µm
net874,172.74µm
net180,172.3µm
_02475_,171.325µm
comm_mem_u0.o_img_row01\[12\],171.25µm
net281,171.145µm
net52,170.795µm
comm_mem_u0.o_img_row09\[27\],170.75µm
net745,170.74µm
net1091,170.37µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[62\],170.15µm
_01869_,169.89µm
net195,169.41µm
comm_mem_u0.o_img_row05\[6\],169.405µm
net668,169.19µm
net646,169.055µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[68\],168.91µm
comm_mem_u0.o_img_row08\[21\],168.665µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[32\],168.615µm
net632,168.31µm
net236,168.055µm
comm_mem_u0.o_img_row02\[15\],167.91µm
_04997_,167.865µm
net189,167.765µm
_01461_,167.73µm
_05209_,167.66µm
net633,167.345µm
net1023,166.69µm
comm_mem_u0.o_img_row02\[27\],166.68µm
_04794_,166.2µm
comm_mem_u0.o_img_row05\[3\],166.1µm
net642,165.925µm
_03104_,165.855µm
comm_mem_u0.o_img_row08\[15\],165.805µm
_04333_,165.64µm
net173,165.575µm
_02058_,165.225µm
net628,165.12µm
comm_mem_u0.o_img_row09\[16\],165.1µm
_03915_,165.09µm
net734,165.07µm
net1047,164.815µm
net836,164.495µm
_03712_,164.28µm
net837,164.125µm
net620,163.985µm
net10,163.86µm
net386,163.72µm
net12,163.585µm
comm_mem_u0.o_img_row01\[28\],163.575µm
net127,163.455µm
_02754_,163.38µm
_03854_,163.315µm
_06147_,163.105µm
_03870_,162.99µm
net682,162.81µm
_02758_,162.57µm
net148,162.52µm
_05214_,162.43µm
comm_mem_u0.o_img_row04\[22\],162.17µm
net624,162.095µm
net155,162.085µm
net868,161.895µm
comm_mem_u0.o_img_row04\[15\],161.81µm
net1002,161.73µm
net977,161.72µm
net138,161.71µm
net296,161.14µm
_03989_,161.135µm
net19,160.975µm
net635,160.96µm
_02094_,160.875µm
_01828_,160.86µm
net227,160.695µm
_02378_,160.63µm
net311,160.535µm
net665,160.44µm
net511,160.35µm
comm_mem_u0.o_img_row04\[18\],160.3µm
net27,160.27µm
net450,160.215µm
comm_mem_u0.o_wgt_row01\[9\],159.8µm
net16,159.795µm
comm_mem_u0.o_img_row04\[17\],159.74µm
_02270_,159.54µm
comm_mem_u0.o_img_row06\[8\],159.425µm
net125,159.41µm
comm_mem_u0.o_img_row06\[5\],159.345µm
_03285_,159.285µm
_03481_,159.115µm
_01791_,159.06µm
net460,159.03µm
comm_mem_u0.o_img_row01\[6\],158.825µm
net717,158.665µm
net472,158.64µm
net282,158.625µm
net726,158.485µm
net141,158.36µm
comm_mem_u0.o_img_row06\[1\],158.23µm
net854,158.015µm
net459,157.625µm
net666,157.35µm
net687,157.3µm
net608,157.265µm
net322,157.22µm
net106,157.095µm
_05041_,156.87µm
net237,156.675µm
net240,156.585µm
_01614_,156.57µm
net64,156.515µm
net331,156.29µm
net955,156.16µm
net482,156.04µm
comm_mem_u0.o_img_row02\[11\],156.01µm
_03887_,155.87µm
net643,155.675µm
_03697_,155.12µm
net884,155.11µm
comm_mem_u0.o_img_row03\[0\],154.99µm
comm_mem_u0.o_img_row07\[11\],154.945µm
net561,154.81µm
_01853_,154.65µm
_02703_,154.445µm
net146,154.345µm
net906,154.29µm
_02599_,154.265µm
_04880_,153.79µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[57\],153.63µm
comm_mem_u0.o_img_row08\[20\],153.59µm
net1105,153.59µm
comm_mem_u0.o_img_row08\[8\],153.53µm
_04779_,153.48µm
net18,153.475µm
net31,153.38µm
net619,153.3µm
_01450_,153.26µm
_06646_,153.09µm
comm_mem_u0.o_img_row07\[13\],153.085µm
net352,152.97µm
_03039_,152.915µm
_03997_,152.815µm
net949,152.755µm
net149,152.73µm
comm_mem_u0.o_wgt_row01\[0\],152.58µm
net140,152.56µm
net217,152.56µm
comm_mem_u0.o_img_row00\[27\],152.41µm
net899,152.105µm
_02114_,152.05µm
net185,151.98µm
_03969_,151.96µm
net831,151.745µm
_04282_,151.68µm
_01837_,151.655µm
net400,151.65µm
net626,151.61µm
net179,151.395µm
net740,151.36µm
comm_mem_u0.o_img_row02\[0\],151.31µm
_01546_,151.23µm
comm_mem_u0.o_img_row01\[22\],151.03µm
_03256_,150.955µm
_03952_,150.94µm
net362,150.925µm
_03614_,150.87µm
net433,150.835µm
_01680_,150.725µm
net114,150.725µm
net175,150.525µm
net471,150.28µm
net839,150.23µm
net183,150.125µm
_04521_,150.11µm
_06326_,149.975µm
_03888_,149.85µm
net92,149.83µm
_03549_,149.58µm
comm_mem_u0.o_img_row09\[19\],149.49µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[53\],149.43µm
net972,149.36µm
net249,149.22µm
net430,149.015µm
net857,148.745µm
net416,148.7µm
_03227_,148.635µm
_01833_,148.58µm
net271,148.49µm
_02067_,148.465µm
_05159_,148.23µm
_06007_,148.21µm
net299,148.205µm
net40,148.14µm
comm_mem_u0.o_img_row03\[4\],147.91µm
net703,147.885µm
comm_mem_u0.o_img_row06\[17\],147.59µm
comm_mem_u0.o_img_row09\[7\],147.375µm
net168,147.23µm
net937,147.075µm
net1050,146.945µm
comm_mem_u0.o_img_row05\[23\],146.83µm
comm_mem_u0.o_img_row05\[1\],146.8µm
net343,146.695µm
net216,146.645µm
_04996_,146.56µm
net832,146.45µm
net675,146.435µm
comm_mem_u0.o_img_row01\[23\],146.42µm
net42,146.305µm
comm_mem_u0.o_img_row01\[16\],146.235µm
_05155_,145.8µm
_02929_,145.785µm
net1048,145.48µm
comm_mem_u0.o_img_row00\[7\],145.315µm
net461,145.09µm
net609,145.015µm
net1062,145.005µm
net294,144.93µm
net697,144.75µm
net43,144.58µm
net134,144.565µm
net1083,144.56µm
net625,144.425µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[59\],144.38µm
net435,144.33µm
net439,144.22µm
_03007_,144.03µm
comm_mem_u0.o_img_row01\[18\],143.935µm
comm_mem_u0.o_img_row08\[9\],143.9µm
net809,143.835µm
comm_mem_u0.o_img_row08\[16\],143.66µm
comm_mem_u0.o_img_row09\[9\],143.625µm
net661,143.265µm
net253,143.215µm
net1072,143.025µm
comm_mem_u0.o_img_row08\[19\],143.01µm
_02152_,143µm
comm_mem_u0.o_img_row05\[13\],142.99µm
net399,142.73µm
net863,142.625µm
net512,142.475µm
net521,142.385µm
net691,142.315µm
net843,142.24µm
proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[51\],142.125µm
comm_mem_u0.o_wgt_row01\[1\],141.715µm
net126,141.525µm
net3,141.5µm
net701,141.39µm
_05145_,141.36µm
net291,141.325µm
net156,141.22µm
