net,length_um
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[59\],216.855µm
net196,215.92µm
_03447_,215.84µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[5\],215.42µm
net498,215.4µm
_04804_,215.245µm
net245,214.855µm
_01874_,214.82µm
_05202_,214.45µm
_01993_,214.355µm
net815,214.33µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[15\],214.23µm
_06465_,214.09µm
net310,213.97µm
net652,213.89µm
cnn_inst.comm_mem_u0.o_img_row06\[3\],213.84µm
cnn_inst.comm_mem_u0.o_img_row03\[16\],213.515µm
_01346_,213.41µm
net905,213.245µm
net591,213.07µm
cnn_inst.comm_mem_u0.o_img_row03\[24\],212.68µm
_02851_,212.515µm
net142,212.515µm
net446,212.395µm
net653,212.27µm
cnn_inst.comm_mem_u0.o_img_row04\[14\],212.235µm
_06108_,212.23µm
net601,212.08µm
_04005_,211.93µm
cnn_inst.comm_mem_u0.o_img_row03\[4\],211.795µm
net502,211.77µm
net1027,211.725µm
net542,211.425µm
net105,210.955µm
net366,210.915µm
net625,210.435µm
net230,210.14µm
net229,210.07µm
net848,210.06µm
net344,209.76µm
net148,209.62µm
_03769_,209.245µm
net111,208.9µm
cnn_inst.comm_mem_u0.o_img_row06\[21\],208.83µm
_06112_,208.82µm
net654,208.75µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[34\],208.67µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[65\],208.625µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[74\],208.505µm
net690,208.37µm
_03230_,208.31µm
net576,208.255µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[45\],208.22µm
_01861_,208.025µm
net1070,208.02µm
net110,207.93µm
_06119_,207.62µm
net253,207.595µm
_02290_,207.165µm
net217,206.935µm
cnn_inst.comm_mem_u0.o_img_row02\[20\],206.36µm
_03786_,206.215µm
net302,206µm
net577,205.345µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[25\],205.14µm
net369,204.64µm
_04086_,204.605µm
cnn_inst.comm_mem_u0.o_img_row03\[23\],204.38µm
_04071_,204.295µm
_03248_,204.21µm
cnn_inst.comm_mem_u0.o_img_row02\[5\],203.9µm
_03072_,203.74µm
cnn_inst.comm_mem_u0.o_img_row04\[25\],203.66µm
cnn_inst.comm_mem_u0.o_img_row03\[11\],203.645µm
net138,203.475µm
net174,203.27µm
net489,202.79µm
net736,202.615µm
cnn_inst.comm_mem_u0.o_img_row06\[26\],202.59µm
net1046,202.58µm
net483,202.5µm
_01841_,202.23µm
_03973_,202.22µm
_04092_,202.015µm
cnn_inst.proc_u0.cnn_ctrl_u0.cnn_inst.cnn_inst.kernel_flat\[53\],202.01µm
net927,201.955µm
net65,201.93µm
_03146_,201.86µm
_03123_,201.285µm
net154,201.245µm
net891,200.84µm
_03031_,200.625µm
net533,200.56µm
net864,200.48µm
_03611_,200.14µm
cnn_inst.comm_mem_u0.spi_u0.weight_shift\[10\],199.25µm
cnn_inst.comm_mem_u0.o_img_row02\[0\],199.05µm
net31,199.005µm
_05249_,198.87µm
net770,198.685µm
net271,198.64µm
_03740_,198.555µm
cnn_inst.comm_mem_u0.o_img_row00\[7\],198.535µm
_05234_,198.42µm
cnn_inst.comm_mem_u0.o_img_row03\[25\],198.385µm
_01840_,198.19µm
net178,198.12µm
_05988_,197.195µm
_06118_,197.01µm
