2026-03-06 05:32:02 +0000: Memory Usage (460136K) : metal4_noqrc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460136K) : metal4_res has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460264K) : metal4_iprobe has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460264K) : metal4_diffprb has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460392K) : heattrans_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460392K) : heatres_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460520K) : pempoly_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460520K) : fbe_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460648K) : empoly_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460648K) : ldmos_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460776K) : pbiwind_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460776K) : digisub_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (460904K) : nodrc_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461032K) : text_drw has 10 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461032K) : via4_drw has 5273 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461288K) : metal5_drw has 1268 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461288K) : metal5_pin has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461416K) : metal5_mask has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461416K) : metal5_filler has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461544K) : metal5_nofill has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461544K) : metal5_slit has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461672K) : metal5_text has 10 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461672K) : metal5_opc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461800K) : metal5_noqrc has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461800K) : metal5_res has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461928K) : metal5_iprobe has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (461928K) : metal5_diffprb has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462056K) : radhard_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462056K) : memcap_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462184K) : varicap_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462184K) : flash_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : intbondvia_drw has 0 polygons
2026-03-06 05:32:02 +0000: Memory Usage (462312K) : intbondmet_drw has 0 polygons
